formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
Ca2MgZn,1.353203664,423.7175402,961.42,153.75,0.65,1.24,0,2.5,19.91666667,17.0125
Sr2ZnGa,1.18640179,364.5679719,773.8975,158.5,0.86,1.34,0.25,5,19.73333333,16.25916667
ZnNiAu2,1.399869693,210.0947292,1273.835,129.5,0.89,2.16,0,9.5,1,6.054166667
Ca2TlZn,1.207717479,395.1919553,874.92,154.75,0.65,1.3175,0.25,5,19.91666667,16.20833333
Zn2PtAu,1.174421733,196.6696754,1191.0225,129,0.89,2.03,0,9.75,0.7,5.983333333
Ca2ZnPd,1.063223065,298.9732952,1187.6825,153.25,1.2,1.4625,0,5,20.93333333,15.52083333
Zn2CuPd,1.2628409,161.4838946,1142.795,128.75,0.55,1.85,0,10,1.35,5.645833333
Sr2ZnPb,1.04183738,455.9621693,848.3225,164.5,1.38,1.47,0.5,5,19.73333333,15.97791667
AlZnCu2,1.431363133,168.097107,1085.4225,126.75,0.29,1.765,0.25,7.5,0.983333333,6.229166667
Zn2AgPt,1.258729457,203.4409736,1165.4225,131.25,0.63,1.8775,0,9.75,1.173333333,6.280833333
Ca2ZnIn,1.243653943,393.9467156,838.1075,154,0.78,1.3575,0.25,5,19.91666667,16.73333333
Ca2ZnGa,1.253966923,315.7188054,806.3975,149,0.81,1.365,0.25,5,19.91666667,16.35083333
Sr2ZnSn,1.061159627,408.3615261,824.44,162.75,1.01,1.3775,0.5,5,19.73333333,15.99416667
Ca2ZnPb,1.203666358,392.7291391,880.8225,155,1.33,1.495,0.5,5,19.91666667,16.06958333
MgZn2Pt,1.213635879,194.1564033,1087.44,130.25,0.97,1.7225,0,7.25,4.95,7.225
NaZnPd2,1.332578602,246.4070009,1179.9125,141.5,1.27,1.745,0,7.5,19.31,9.881666667
Ca2AlZn,1.443527073,320.3376487,964.0375,148.75,0.65,1.315,0.25,2.5,19.91666667,16.02083333
ZnInPd2,1.170027303,223.8646937,1194.6325,135.5,0.55,1.9575,0.25,10,4.85,6.266666667
Ca2ZnSn,1.191587751,352.824967,856.94,153.25,0.96,1.4025,0.5,5,19.91666667,16.08583333
ZnGaPd2,1.124218216,185.3443424,1162.9225,130.5,0.55,1.965,0.25,10,3.32,5.884166667
Zn2AgRh,1.463958336,206.4296924,1214.3225,132.75,0.63,1.8775,0,9.5,2.783333333,6.805833333
MgZn2Rh,1.538934744,225.3931318,1136.34,131.75,0.97,1.7225,0,7,4.95,7.75
Zn2IrAu,1.637304404,200.4663107,1365.4225,130.25,0.89,2.01,0,9.25,1.8,6.258333333
AlZnPd2,1.195476845,183.0200452,1320.5625,130.25,0.59,1.915,0.25,7.5,2,5.554166667
Zn2CuRh,1.666449705,169.3355799,1245.0325,129.5,0.63,1.87,0,9.5,2.783333333,6.595833333
Zn2AgIr,1.757787046,205.4728629,1339.8225,132.5,0.55,1.8575,0,9.25,1.783333333,6.555833333
ZnAgPd2,1.667467292,209.2280305,1395.9275,136.25,0.55,1.995,0,10,2.19,5.601666667
ZnGaNi2,1.692679016,129.0664147,1112.8975,123,0.26,1.82,0.25,9,2.303333333,6.884166667
MgZn2Ir,1.782162669,230.8346418,1261.84,131.5,0.89,1.7025,0,6.75,4.95,7.5
MgZnNi2,1.876142834,155.930841,1267.92,127.75,0.6,1.695,0,6.5,4.95,7.545833333
LiMg6Ni,0.046551037,19.94591379,964.96125,137.25,0.93,1.34375,0,1,17.535,11.966875
LiMg6Ni,0.051122722,19.91067863,964.96125,137.25,0.93,1.34375,0,1,17.535,11.966875
CaAgSn,-0.522042602,25.11207556,951.67,153.3333333,0.96,1.63,0.666666667,6.666666667,18.74333333,13.26111111
LiCaSn,-0.561163513,25.0782166,691.2566667,147.6666667,0.98,1.313333333,0.666666667,3.333333333,18.67333333,19.04277778
Ca(MgBi)2,-0.516634074,30.34479604,809.96,150.8,1.02,1.532,1.2,4,25.33333333,9.613333333
Ca(AlGa)2,-0.407275226,19.73959243,717.552,132.4,0.81,1.568,0.8,4,18.93333333,11.11466667
Ca(Al2Cu)4,-0.290848722,15.06879566,1077.987692,128.6153846,0.9,1.652307692,0.615384615,3.076923077,19.58333333,8.056410256
CaZnAg,-0.314119316,21.88618523,1014.203333,147.6666667,0.93,1.526666667,0,6.666666667,19.91666667,12.84666667
Ca(CdAu2)2,-0.438056579,20.40080204,1093.251429,144,1.54,2.077142857,0,8.571428571,19.93333333,9.081904762
CaGa3Pt,-0.654726747,19.32778519,813.026,135.6,1.28,1.742,0.6,7.8,19.23333333,11.31866667
Ca(AlZn)2,-0.289469076,18.97861797,873.46,132.4,0.65,1.504,0.4,4,19.91666667,10.19333333
Ca(CuSn)2,-0.317747624,21.16271325,968.14,143.6,0.96,1.744,0.8,8,19.58333333,10.43066667
Ga3Au,-0.018823888,18.41465307,561.515,125.5,0.73,1.9925,0.75,10,2.32,7.54
In3Au,-0.077127911,25.17634687,656.645,140.5,0.76,1.97,0.75,10,3.85,8.6875
Cd3Au8,0.003604079,20.48262602,1134.663636,138.1818182,0.85,2.308181818,0,10,1.52,6.214545455
In3Au,-0.07600398,24.34199515,656.645,140.5,0.76,1.97,0.75,10,3.85,8.6875
Bi3Au,0.165808989,28.5028631,742.6325,145,0.52,2.15,2.25,10,5.4,1.75
Bi3Au,0.167315424,28.36708676,742.6325,145,0.52,2.15,2.25,10,5.4,1.75
Sn9Au4,0.081127862,24.74018449,761.1569231,138.0769231,0.58,2.138461538,1.384615385,10,1.26,6.672307692
Bi3Au,0.175629897,28.1069153,742.6325,145,0.52,2.15,2.25,10,5.4,1.75
Bi3Au,0.176178722,31.95271482,742.6325,145,0.52,2.15,2.25,10,5.4,1.75
Al3Au,-0.168010848,16.64006676,1034.435,124.75,0.93,1.8425,0.75,2.5,1,6.55
Na4Au,0.027822462,37.78372881,564.162,160,1.61,1.252,0,2,18.31,20.448
Mg3Au,-0.176622045,22.11722675,1026.5825,139.75,1.23,1.6175,0,2.5,4.966666667,9.525
BiAu,0.239881309,27.90790988,940.865,142,0.52,2.28,1.5,10,5.4,3.1
Bi4Au,0.260180847,34.08858188,702.986,145.6,0.52,2.124,2.4,10,5.4,1.48
Pb4Au,0.222943892,34.32014199,747.954,144,0.21,2.372,1.6,10,1.195,6.756
Sr3Au,-0.127861769,38.54623025,1121.8325,180.25,1.59,1.3475,0,2.5,19.75,20.6125
LiCa2Sn,1.18804262,365.8766815,797.1925,154.75,0.98,1.235,0.5,2.5,18.67333333,20.71541667
Ca2MgAl,1.522197414,374.8684871,1021.6175,153.5,0.61,1.23,0.25,0,18.93333333,17.25833333
Ca2AlZn,1.443527073,320.3376487,964.0375,148.75,0.65,1.315,0.25,2.5,19.91666667,16.02083333
Ca2ZnSn,1.191587751,352.824967,856.94,153.25,0.96,1.4025,0.5,5,19.91666667,16.08583333
Ca2TlSn,1.180613268,393.3736672,828.02,159,0.96,1.395,0.75,5,18.67333333,16.51916667
Ca2TlIn,1.186356095,578.6670703,809.1875,159.75,0.78,1.35,0.5,5,18.18333333,17.16666667
Ca2InPb,1.233859723,420.0327364,815.09,160,1.33,1.5275,0.75,5,18.73833333,17.02791667
Ca2TlGa,1.252612734,451.350691,777.4775,154.75,0.81,1.3575,0.5,5,18.18333333,16.78416667
CaPd2Pb,1.238465505,230.9540801,1342.9275,150,1.33,1.9325,0.5,7.5,20.93333333,10.58208333
Ca2InGa,1.262887842,372.9234991,740.665,154,0.81,1.3975,0.5,5,17.61333333,17.30916667
Ca2AlTl,1.422149491,392.4203068,935.1175,154.5,0.62,1.3075,0.5,2.5,18.93333333,16.45416667
Ca2PdRh,1.300305665,266.5509302,1573.7625,158.25,1.28,1.62,0,4.5,20.93333333,16.21666667
CaSnPd2,1.216099199,253.6411507,1319.045,148.25,1.2,1.84,0.5,7.5,20.93333333,10.59833333
CaRh2Pb,1.929706065,240.8310883,1547.4025,151.5,1.33,1.9725,0.5,6.5,18.73833333,12.48208333
CaInRh2,2.000745863,250.9978184,1504.6875,150.5,1.28,1.835,0.25,6.5,17.13333333,13.14583333
Ca2TlHg,-0.566957682,27.64194461,760.33,157.25,1,1.405,0.25,5,20.37333333,16.09416667
Li2TlAg,-0.236424752,18.031295,679.8275,136.5,0.95,1.3775,0.25,5,17.345,15.8025
Ca2TlIn,-0.54825947,28.6366543,809.1875,159.75,0.78,1.35,0.5,5,18.18333333,17.16666667
Li2MgTl,-0.202913964,19.38905862,601.845,135.5,0.64,1.2225,0.25,2.5,16.785,16.74666667
SrCa(Ni2Sn)4,-0.329771816,17.02466257,1286.38,137.0714286,1.01,1.790714286,0.571428571,7.428571429,18.93333333,9.565952381
Ca2MgTl,-0.278889945,29.04798021,932.5,159.5,0.62,1.2325,0.25,2.5,18.18333333,17.44583333
CaGaPt,-0.919403423,19.87277032,1153.103333,144.6666667,1.28,1.696666667,0.333333333,6.333333333,19.23333333,13.45111111
LiCaBi,-0.950248242,26.28425784,704.3633333,150.6666667,1.04,1.333333333,1,3.333333333,25.33333333,16.82277778
Ca3(GaNi)4,-0.487152415,17.88172255,1042.603636,137.4545455,0.91,1.625454545,0.363636364,6.545454545,18.93333333,12.44363636
CaCdSn,-0.487043261,26.58681412,738.1,153,0.96,1.55,0.666666667,6.666666667,18.67333333,13.37111111
CaAgSn,-0.522042602,25.11207556,951.67,153.3333333,0.96,1.63,0.666666667,6.666666667,18.74333333,13.26111111
Ca2Sn5Pt3,-0.724886747,22.06779865,1087.96,145.5,1.28,1.864,1,7.7,19.23333333,10.62666667
CaSnAu2,-0.592416031,21.68156169,1073.685,146.75,1.54,2.01,0.5,7.5,19.93333333,11.09833333
Ca2MgIn,-0.297382525,29.02441323,895.6875,158.75,0.78,1.2725,0.25,2.5,16.08333333,17.97083333
CaCdAu,-0.608601469,23.63263042,1015.516667,152,1.54,1.743333333,0,6.666666667,19.93333333,12.95111111
CaAlAu,-0.758781768,21.26469294,1128.6,144.3333333,1.54,1.716666667,0.333333333,3.333333333,19.93333333,12.77777778
