formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
LiMgBi,-0.396783943,25.98132281,640.3633333,139,1.04,1.436666667,1,3.333333333,23.935,11.83388889
LiMgIn2,-0.161156135,21.29523999,559.0475,138.25,0.8,1.4625,0.5,5,14.685,13.60041667
LiMgSn2,1.180168178,266.0142796,596.7125,136.75,0.98,1.5525,1,5,17.275,12.30541667
LiMgZn2,0.97737522,247.0239291,690.5125,128.25,0.67,1.3975,0,5,18.51833333,11.68375
LiNi2Sn,-0.273924725,13.10674005,1103.6925,128.75,0.98,1.69,0.5,6.5,17.535,11.24875
LiNi3,0.062328318,10.49050396,1409.4225,125,0.93,1.6775,0,6,17.535,11.18375
LiSn,-0.325866989,20.48401323,479.385,133.5,0.98,1.47,1,5,17.275,15.6975
LiSn3,-0.129174582,24.55880997,492.2325,136.25,0.98,1.715,1.5,7.5,17.275,11.37875
LiZn,-0.220105588,13.93417887,573.185,125,0.67,1.315,0,5,18.51833333,15.07583333
LiZn13,-0.056459734,15.55357228,675.6092857,122.4285714,0.67,1.602142857,0,9.285714286,18.51833333,7.139404762
LiZn2,0.092109014,17.82118342,613.0166667,124,0.67,1.426666667,0,6.666666667,18.51833333,11.98944444
LiZn2Ag,-0.164231135,14.72845581,768.495,129.25,0.95,1.5525,0,7.5,18.51833333,10.73958333
LiZn2Cu,0.971920094,154.0373491,799.205,126,0.92,1.545,0,7.5,18.51833333,10.52958333
LiZn2Ni,-0.255890503,12.17389454,891.7625,124,0.93,1.5475,0,7,18.51833333,10.69208333
LiZn3,-0.164604938,13.65055731,632.9325,123.5,0.67,1.4825,0,7.5,18.51833333,10.44625
LiZnAg2,-0.161002965,15.18881101,904.0575,135,0.95,1.6225,0,7.5,18.51833333,11.03291667
LiZnCu2,-0.106825221,12.1832321,965.4775,128.5,0.92,1.6075,0,7.5,18.51833333,10.61291667
LiZnNi2,-0.141806453,11.10299297,1150.5925,124.5,0.93,1.6125,0,6.5,18.51833333,10.93791667
Mg,0,22.39949817,923,141,0,1.31,0,0,0,10.76666667
Mg(AlSn)2,0.082330133,24.99009653,760.02,132.2,0.65,1.69,1.2,4,3.966666667,7.697333333
Mg11(Al2Cu)6,-0.124215571,17.45366386,1017.284828,130.862069,0.59,1.556206897,0.413793103,2.068965517,4.616666667,8.170114943
Mg13Al14,0.078594101,19.63652522,928.4288889,130.6296296,0.3,1.465555556,0.518518519,0,3.966666667,8.709876543
Mg13Al16,0.033463217,19.52543504,928.7765517,129.9655172,0.3,1.475517241,0.551724138,0,3.966666667,8.57816092
Mg149Ag,0.001092288,22.73237883,925.0795333,141.0266667,0.62,1.314133333,0,0.066666667,3.776666667,10.74148889
Mg149Al,0.002754187,22.78598987,923.0698,140.8666667,0.3,1.312,0.006666667,0,3.966666667,10.74022222
Mg149Bi,0.002534945,23.0920008,920.476,141.0466667,0.71,1.314733333,0.02,0.066666667,10.36666667,10.69755556
Mg149In,3.33317E-05,22.96965944,919.7116667,141.0066667,0.47,1.313133333,0.006666667,0.066666667,1.116666667,10.75922222
Mg149Ni,0.005594153,22.83972598,928.3666667,140.8866667,0.6,1.314,0,0.053333333,3.966666667,10.74022222
Mg149Sn,-0.000465857,22.7890679,920.2138667,140.9866667,0.65,1.314333333,0.013333333,0.066666667,3.706666667,10.74195556
Mg149Zn,0.002265532,22.99214869,921.4645333,140.8733333,0.34,1.312266667,0,0.066666667,4.95,10.73366667
Mg14AlBi,0.018868178,23.19602112,899.991875,140.1875,0.71,1.373125,0.25,0.625,10.36666667,9.870833333
Mg14AlCu,0.042167434,21.44326489,950.8275,139.1875,0.59,1.365625,0.0625,0.625,4.616666667,10.23020833
Mg14AlNi,0.044309684,20.91208975,973.966875,138.6875,0.6,1.36625,0.0625,0.5,3.966666667,10.27083333
Mg14AlSn,-0.002265607,22.45528949,897.534375,139.625,0.65,1.369375,0.1875,0.625,3.966666667,10.28708333
Mg14AlZn,0.023671316,21.97925006,909.259375,138.5625,0.34,1.35,0.0625,0.625,4.95,10.209375
Mg14CuBi,0.026657314,22.41593987,926.510625,140.875,0.71,1.39125,0.1875,1.25,10.36666667,9.830208333
Mg14CuNi,0.045899193,20.79356091,1000.485625,139.375,0.6,1.384375,0,1.125,4.616666667,10.23020833
Mg14CuSn,0.013461279,21.94464914,924.053125,140.3125,0.65,1.3875,0.125,1.25,4.616666667,10.24645833
Mg14NiBi,0.031067146,21.98881649,949.65,140.375,0.71,1.391875,0.1875,1.125,10.36666667,9.870833333
Mg14NiSn,0.016619747,21.4744743,947.1925,139.8125,0.65,1.388125,0.125,1.125,3.966666667,10.28708333
Mg14SnBi,-0.007037904,23.34462419,873.2175,141.3125,0.71,1.395,0.3125,1.25,10.36666667,9.887083333
Mg14ZnBi,0.008755458,22.95732866,884.9425,140.25,0.71,1.375625,0.1875,1.25,10.36666667,9.809375
Mg14ZnCu,0.038323606,21.29836323,935.778125,139.25,0.59,1.368125,0,1.25,4.95,10.16875
Mg14ZnNi,0.037937365,21.02313268,958.9175,138.75,0.6,1.36875,0,1.125,4.95,10.209375
Mg14ZnSn,-0.009297233,22.33727923,882.485,139.6875,0.65,1.371875,0.125,1.25,4.95,10.225625
Mg15Al,0.039757761,21.9714168,923.654375,139.75,0.3,1.32875,0.0625,0,3.966666667,10.51875
Mg15Bi,0.016866382,22.81372451,899.3375,141.4375,0.71,1.354375,0.1875,0.625,10.36666667,10.11875
Mg15Cu,0.035471846,21.40181271,950.173125,140.4375,0.59,1.346875,0,0.625,4.616666667,10.478125
Mg15Ni,0.047389338,21.69069397,973.3125,139.9375,0.6,1.3475,0,0.5,3.966666667,10.51875
Mg15Sn,0.008929396,22.45933159,896.88,140.875,0.65,1.350625,0.125,0.625,3.706666667,10.535
Mg15Zn,0.032650389,21.73252784,908.605,139.8125,0.34,1.33125,0,0.625,4.95,10.45729167
Mg16Al12Ag,-0.018759697,19.88380652,938.0886207,132.862069,0.62,1.455517241,0.413793103,0.344827586,3.966666667,8.995057471
Mg16Al12Bi,0.010710469,20.55128421,914.2772414,132.9655172,0.71,1.45862069,0.517241379,0.344827586,10.36666667,8.767816092
